Date,Open,High,Low,Close,Adj Close,Volume
12-05-2017,475,482.850006,475,481.950012,423.237976,1678658
15-05-2017,482.5,482.850006,474.625,475.975006,417.990845,300740
16-05-2017,476,480.075012,474,478.25,419.988708,253142
17-05-2017,477.5,479.149994,472.100006,476.100006,418.100586,2786304
18-05-2017,474.5,486.924988,472,480.850006,422.271942,1325246
19-05-2017,478,481.375,473.899994,478.950012,420.603424,246164
22-05-2017,478.899994,483.25,478.274994,479.875,421.415771,484346
23-05-2017,481.5,483.375,476.924988,478.700012,420.383881,1426220
24-05-2017,478.575012,482.649994,475.200012,476.774994,418.69339,284144
25-05-2017,479.950012,492.450012,479.950012,490.950012,431.141602,415768
26-05-2017,490,500,490,498.100006,437.420532,368118
29-05-2017,496.350006,498.424988,488,492.649994,432.634491,705104
30-05-2017,492.649994,500,489.924988,498.225006,437.530304,183094
31-05-2017,495.575012,496.075012,487.549988,488.475006,428.968048,206230
01-06-2017,484.5,489.774994,479.674988,485.475006,439.607941,206224
02-06-2017,485.475006,487.549988,482.5,484.725006,438.928802,613410
05-06-2017,484.5,484.875,479.125,480.100006,434.740753,440632
06-06-2017,482.5,493.424988,482.5,489.725006,443.45639,1335798
07-06-2017,491.024994,494.350006,472.75,480.75,435.329376,916686
08-06-2017,480.549988,482.350006,474.5,478.149994,432.974945,1218732
09-06-2017,470,476,461.524994,474.325012,429.511353,2058384
12-06-2017,471.5,483.350006,470,481.899994,436.370728,434912
13-06-2017,479.850006,481.5,476.174988,479.100006,433.835236,203746
14-06-2017,478.5,480.975006,475.75,479.325012,434.039001,351384
15-06-2017,477.5,483.5,475,476.149994,431.164001,401220
16-06-2017,475.950012,476.450012,468,470.25,425.82135,326912
19-06-2017,469.299988,470.225006,464,464.725006,420.818359,254052
20-06-2017,467.5,473.5,467.075012,471.899994,427.31546,296578
21-06-2017,471.75,474.5,468.25,471.975006,427.383423,185100
22-06-2017,472.5,484.149994,467.924988,470.149994,425.730835,553904
23-06-2017,470,474.399994,469.274994,471.674988,427.111725,198992
27-06-2017,472.024994,473.475006,462,463.174988,419.414795,337402
28-06-2017,465.149994,466.274994,460.600006,462.200012,418.531952,859404
29-06-2017,463.5,473.649994,462.649994,464.75,420.841003,369932
30-06-2017,463.674988,468.950012,463.5,467.825012,423.625519,159304
03-07-2017,467.5,477,467.5,475.700012,430.75647,240350
04-07-2017,477.5,483.899994,474.850006,480.25,434.876648,226438
05-07-2017,477.799988,479.200012,473.325012,475.524994,430.597961,190342
06-07-2017,473,478.5,472.149994,473.75,428.990692,190270
07-07-2017,472.5,473.5,467.200012,468,423.783936,339844
10-07-2017,472.5,480.225006,470,479.524994,434.220093,2215488
11-07-2017,477.5,494.450012,477.5,487.899994,441.803833,546874
12-07-2017,488,490.274994,484.774994,486.899994,440.898346,278426
13-07-2017,486.975006,491.674988,482.5,488.149994,442.030212,648690
14-07-2017,500,503.325012,484,486.024994,440.105927,1370874
17-07-2017,486.625,495.600006,486.625,492.674988,446.127686,340670
18-07-2017,492.450012,502.149994,490.75,492.700012,446.15036,451232
19-07-2017,494.5,494.700012,485,489.950012,443.660156,325980
20-07-2017,490,490,483.524994,484.5,438.725037,264220
21-07-2017,485.5,491.25,485.5,489.950012,443.660156,240060
24-07-2017,490.549988,496.875,490.549988,495.600006,448.776337,973724
25-07-2017,495.5,499.5,493.125,497.075012,450.112,256324
26-07-2017,498,499.5,495.549988,496.875,449.930847,2400194
27-07-2017,497,501.875,484,486.149994,440.219147,411638
28-07-2017,490,501,481.5,498.924988,451.787201,895404
31-07-2017,498.924988,510.5,493.674988,505.649994,457.876831,624104
01-08-2017,503.5,508.475006,499.225006,502.5,455.024414,160286
02-08-2017,502.5,506,494.100006,496.225006,449.342285,185074
03-08-2017,496.225006,499.399994,490.5,491.799988,445.335358,153692
04-08-2017,492.600006,494.299988,488.649994,492.674988,446.127686,139790
07-08-2017,491,491.825012,483,484.075012,438.34024,209958
08-08-2017,485,485.524994,477.774994,482.299988,436.73291,209132
09-08-2017,483.125,486.799988,482.274994,484.725006,438.928802,169138
10-08-2017,485.950012,494,485,491.25,444.837341,520170
11-08-2017,488.5,497.799988,484.774994,493.875,447.214325,308390
14-08-2017,492.575012,493.875,488.149994,489.725006,443.45639,155610
16-08-2017,492,493.049988,485,488.399994,442.256592,180476
17-08-2017,505,514.450012,499,510.575012,462.336517,1064390
18-08-2017,510.75,510.75,442.200012,461.549988,417.943359,16314852
21-08-2017,464.5,464.5,435,436.75,395.486389,8953398
22-08-2017,446.25,448.5,430.75,438.575012,397.138947,3935926
23-08-2017,440.549988,452,437.274994,447.25,404.994385,4242936
24-08-2017,453.5,459.399994,451.174988,456.25,413.144073,2608354
28-08-2017,473.5,476.75,468.950012,470.575012,426.115692,2843418
29-08-2017,471.700012,471.700012,463,463.774994,419.958099,1207644
30-08-2017,467.549988,469.774994,462,463.325012,419.550629,808332
31-08-2017,464,466.350006,456.350006,457.649994,414.411804,1989498
01-09-2017,457.600006,463.100006,455.125,460.049988,416.585052,596990
04-09-2017,460.625,460.875,446.799988,450.649994,408.073151,1174168
05-09-2017,451.674988,452.25,448.625,450.549988,407.982574,694832
06-09-2017,449.5,450,445.125,447.850006,405.53772,878668
07-09-2017,449,450.424988,446.274994,447.774994,405.469757,560664
08-09-2017,448.049988,449,441.125,442.200012,400.421478,918058
